No,Date,O1,O2,O3,O4,O5,O6,R1,R2,R3,R4,R5,R6,B1,和值,平均值,尾数和值,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
13145,2013/12/10,13,10,24,16,23,6,6,10,13,16,23,24,15,92,15.33,22,2,4,-2,0,1,2,4,-2,4,7,1,1,18,7,0,0,2
13144,2013/12/8,27,19,31,5,12,7,5,7,12,19,27,31,2,101,16.83,31,5,1,4,3,0,3,3,0,5,8,0,0,26,8,1,2,2
13143,2013/12/5,27,18,32,21,22,12,12,18,21,22,27,32,11,132,22,22,2,4,-2,0,1,5,1,4,4,6,1,1,20,6,0,2,2
13142,2013/12/3,12,20,29,14,22,11,11,12,14,20,22,29,14,108,18,18,2,4,-2,0,3,3,3,0,5,7,1,1,18,7,0,0,1
13141,2013/12/1,5,4,31,3,25,30,3,4,5,25,30,31,4,98,16.33,18,4,2,2,1,0,3,3,0,5,6,3,2,28,20,0,1,1
13140,2013/11/28,22,12,13,21,5,1,1,5,12,13,21,22,10,74,12.33,14,4,2,2,2,0,2,4,-2,4,7,2,2,21,8,2,2,2
13139,2013/11/26,11,27,7,21,13,8,7,8,11,13,21,27,8,87,14.5,27,5,1,4,3,0,2,4,-2,4,8,1,1,20,8,0,1,1
13138,2013/11/24,27,28,24,16,15,4,4,15,16,24,27,28,3,114,19,34,2,4,-2,0,1,3,3,0,5,6,2,2,24,11,1,3,3
13137,2013/11/21,27,17,4,19,24,23,4,17,19,23,24,27,10,114,19,34,4,2,2,2,0,5,1,4,4,9,1,1,23,13,1,1,3
13136,2013/11/19,26,16,18,6,4,14,4,6,14,16,18,26,6,84,14,34,0,6,-6,0,5,2,4,-2,3,3,0,0,22,8,0,0,1
13135,2013/11/17,24,31,9,23,29,25,9,23,24,25,29,31,12,141,23.5,31,5,1,4,3,0,5,1,4,5,7,2,1,22,14,0,2,1
13134,2013/11/14,25,17,18,1,19,29,1,17,18,19,25,29,10,109,18.17,39,5,1,4,3,0,5,1,4,5,9,2,1,28,16,1,2,1
13133,2013/11/12,22,12,4,7,25,19,4,7,12,19,22,25,1,89,14.83,29,3,3,0,0,0,3,3,0,5,6,0,0,21,7,0,2,2
13132,2013/11/10,22,27,20,23,25,21,20,21,22,23,25,27,12,138,23,18,4,2,2,2,0,6,0,6,6,2,3,1,7,2,0,0,3
13131,2013/11/7,19,12,17,26,6,4,4,6,12,17,19,26,9,84,14,34,2,4,-2,1,2,3,3,0,5,7,0,0,22,7,0,0,2
13130,2013/11/5,3,1,16,33,15,31,1,3,15,16,31,33,8,99,16.5,19,5,1,4,3,0,2,4,-2,4,7,1,1,32,15,0,1,1
13129,2013/11/3,27,31,14,5,10,6,5,6,10,14,27,31,14,93,15.5,23,3,3,0,1,2,2,4,-2,6,6,1,1,26,13,1,1,2
13128,2013/10/31,25,31,17,13,7,19,7,13,17,19,25,31,8,112,18.67,32,6,0,6,5,0,4,2,2,5,4,0,0,24,6,0,1,1
13127,2013/10/29,22,13,3,20,2,33,2,3,13,20,22,33,14,93,15.5,13,3,3,0,1,1,3,3,0,3,8,1,1,31,11,1,1,2
13126,2013/10/27,19,31,4,33,10,27,4,10,19,27,31,33,16,124,20.67,24,4,2,2,3,1,4,2,2,6,8,0,0,29,9,1,1,2
13125,2013/10/24,28,25,4,8,18,6,4,6,8,18,25,28,16,89,14.83,39,1,5,-4,0,3,3,3,0,4,8,0,0,24,10,1,1,2
13124,2013/10/22,9,15,30,3,25,23,3,9,15,23,25,30,7,105,17.5,25,5,1,4,4,0,3,3,0,4,9,0,0,27,8,0,1,1
13123,2013/10/20,25,2,11,17,1,6,1,2,6,11,17,25,2,62,10.33,22,4,2,2,2,1,2,4,-2,5,9,1,1,24,8,0,0,3
13122,2013/10/17,27,7,10,26,15,13,7,10,13,15,26,27,11,98,16.33,28,4,2,2,1,0,2,4,-2,5,9,1,1,20,11,1,2,2
13121,2013/10/15,7,6,5,25,27,4,4,5,6,7,25,27,7,74,12.33,34,4,2,2,2,0,2,4,-2,4,4,3,1,23,18,0,2,4
13120,2013/10/13,6,23,18,13,5,31,5,6,13,18,23,31,11,96,16,26,4,2,2,1,0,3,3,0,5,6,1,1,26,8,1,1,3
13119,2013/10/10,20,26,22,15,32,5,5,15,20,22,26,32,9,120,20,20,2,4,-2,1,3,4,2,2,4,7,0,0,27,10,1,2,1
13118,2013/10/8,33,32,2,17,3,22,2,3,17,22,32,33,16,109,18.17,19,3,3,0,1,1,4,2,2,3,7,2,2,31,14,1,1,1
13117,2013/10/6,33,27,24,12,9,13,9,12,13,24,27,33,16,118,19.67,28,4,2,2,1,0,3,3,0,5,8,1,1,24,11,1,2,3
13116,2013/10/3,21,33,12,32,26,15,12,15,21,26,32,33,7,139,23.17,19,3,3,0,1,1,4,2,2,5,8,1,1,21,6,0,1,2
13115,2013/10/1,3,18,27,17,16,12,3,12,16,17,18,27,8,93,15.5,33,3,3,0,0,1,3,3,0,5,7,2,1,24,9,0,1,3
13114,2013/9/29,21,17,4,6,33,23,4,6,17,21,23,33,7,104,17.33,24,4,2,2,3,1,4,2,2,5,8,0,0,29,11,2,3,2
13113,2013/9/26,33,24,7,4,17,11,4,7,11,17,24,33,9,96,16,26,4,2,2,2,0,3,3,0,4,8,0,0,29,9,0,0,2
13112,2013/9/24,31,13,12,22,1,6,1,6,12,13,22,31,7,85,14.17,15,3,3,0,0,1,2,4,-2,4,9,1,1,30,9,1,2,1
13111,2013/9/22,6,2,33,3,1,8,1,2,3,6,8,33,13,53,8.83,23,3,3,0,0,1,1,5,-4,5,7,2,1,32,25,0,0,1
13110,2013/9/19,21,18,17,29,32,15,15,17,18,21,29,32,13,132,22,32,4,2,2,2,0,5,1,4,6,6,1,1,17,8,2,2,0
13109,2013/9/17,24,9,23,29,32,27,9,23,24,27,29,32,8,144,24,34,4,2,2,2,0,5,1,4,5,8,1,1,23,14,1,1,4
13108,2013/9/15,31,32,21,28,16,22,16,21,22,28,31,32,5,150,25,20,2,4,-2,0,1,5,1,4,4,7,2,2,16,6,0,2,2
13107,2013/9/12,17,11,28,31,7,9,7,9,11,17,28,31,11,103,17.17,33,5,1,4,3,0,3,3,0,4,9,0,0,24,11,0,3,1
13106,2013/9/10,11,32,9,23,30,31,9,11,23,30,31,32,6,136,22.67,16,4,2,2,2,0,4,2,2,5,7,2,1,23,12,4,4,3
13105,2013/9/8,11,27,1,31,32,23,1,11,23,27,31,32,9,125,20.83,15,5,1,4,4,0,4,2,2,4,9,1,1,31,12,1,1,2
13104,2013/9/5,17,2,28,4,15,1,1,2,4,15,17,28,11,67,11.17,27,3,3,0,1,1,2,4,-2,6,6,1,1,27,11,0,2,2
13103,2013/9/3,4,20,9,18,2,13,2,4,9,13,18,20,7,66,11,26,2,4,-2,1,2,2,4,-2,6,4,0,0,18,5,2,2,2
13102,2013/9/1,16,5,8,2,6,4,2,4,5,6,8,16,3,41,6.83,31,1,5,-4,0,3,0,6,-6,5,5,2,1,14,8,0,1,3
13101,2013/8/29,5,23,32,9,27,7,5,7,9,23,27,32,1,103,17.17,33,5,1,4,4,0,3,3,0,5,7,0,0,27,14,0,0,3
13100,2013/8/27,20,16,8,4,14,11,4,8,11,14,16,20,11,73,12.17,23,1,5,-4,0,3,1,5,-4,5,6,0,0,16,4,0,2,2
13099,2013/8/25,20,26,31,21,5,11,5,11,20,21,26,31,3,114,19,14,4,2,2,1,0,4,2,2,4,6,1,1,26,9,0,2,2
13098,2013/8/22,19,20,26,7,15,18,7,15,18,19,20,26,14,105,17.5,35,3,3,0,1,1,4,2,2,6,7,2,1,19,8,0,0,3
13097,2013/8/20,17,23,22,14,25,5,5,14,17,22,23,25,7,106,17.67,26,4,2,2,1,0,4,2,2,5,7,1,1,20,9,0,1,1
13096,2013/8/18,28,22,1,30,2,29,1,2,22,28,29,30,15,112,18.67,22,2,4,-2,0,2,4,2,2,5,6,3,2,29,20,1,3,4
13095,2013/8/15,29,28,19,15,1,6,1,6,15,19,28,29,10,98,16.33,38,4,2,2,1,0,3,3,0,5,7,1,1,28,9,0,0,3
13094,2013/8/13,14,2,22,18,4,20,2,4,14,18,20,22,7,80,13.33,20,0,6,-6,0,5,3,3,0,4,5,0,0,20,10,0,1,1
13093,2013/8/11,31,26,8,2,29,1,1,2,8,26,29,31,14,97,16.17,27,3,3,0,1,2,3,3,0,5,10,1,1,30,18,1,2,1
13092,2013/8/8,26,11,7,21,31,15,7,11,15,21,26,31,6,111,18.5,21,5,1,4,3,0,3,3,0,4,7,0,0,24,6,1,1,2
13091,2013/8/6,31,14,24,28,4,25,4,14,24,25,28,31,10,126,21,26,2,4,-2,0,2,4,2,2,4,8,1,1,27,10,0,1,4
13090,2013/8/4,11,24,2,23,5,29,2,5,11,23,24,29,8,94,15.67,24,4,2,2,2,0,3,3,0,6,8,1,1,27,12,0,0,3
13089,2013/8/1,4,8,19,25,21,12,4,8,12,19,21,25,13,89,14.83,29,3,3,0,2,2,3,3,0,6,6,0,0,21,7,0,1,4
13088,2013/7/30,15,9,21,22,24,20,9,15,20,21,22,24,14,111,18.5,21,3,3,0,1,1,4,2,2,6,7,2,1,15,6,0,1,3
13087,2013/7/28,24,28,23,2,13,19,2,13,19,23,24,28,5,109,18.17,29,3,3,0,2,1,4,2,2,5,7,1,1,26,11,1,2,0
13086,2013/7/25,2,11,26,4,16,13,2,4,11,13,16,26,11,72,12,22,2,4,-2,1,2,1,5,-4,5,8,0,0,24,10,2,2,2
13085,2013/7/23,2,12,16,8,14,32,2,8,12,14,16,32,16,84,14,24,0,6,-6,0,5,1,5,-4,4,7,0,0,30,16,0,0,2
13084,2013/7/21,21,7,5,9,20,11,5,7,9,11,20,21,3,73,12.17,23,5,1,4,3,0,2,4,-2,5,7,1,1,16,9,1,1,4
13083,2013/7/18,12,19,14,6,23,5,5,6,12,14,19,23,9,79,13.17,29,3,3,0,1,2,2,4,-2,6,8,1,1,18,6,0,1,5
13082,2013/7/16,22,14,20,4,13,30,4,13,14,20,22,30,6,103,17.17,13,1,5,-4,0,3,3,3,0,4,6,1,1,26,9,0,2,4
13081,2013/7/14,1,10,31,13,4,21,1,4,10,13,21,31,13,80,13.33,10,4,2,2,2,1,2,4,-2,4,8,0,0,30,10,0,1,3
13080,2013/7/11,23,28,11,32,10,12,10,11,12,23,28,32,16,116,19.33,16,2,4,-2,0,1,3,3,0,5,9,2,1,22,11,0,0,2
13079,2013/7/9,26,7,22,19,13,17,7,13,17,19,22,26,13,104,17.33,34,4,2,2,3,1,4,2,2,5,7,0,0,19,6,1,2,3
13078,2013/7/7,5,26,17,27,18,3,3,5,17,18,26,27,15,96,16,36,4,2,2,2,1,4,2,2,5,8,2,2,24,12,1,1,1
13077,2013/7/4,9,14,26,24,29,23,9,14,23,24,26,29,3,125,20.83,35,3,3,0,0,1,4,2,2,4,7,1,1,20,9,0,5,3
13076,2013/7/2,23,24,29,30,14,26,14,23,24,26,29,30,3,146,24.33,26,2,4,-2,0,1,5,1,4,5,7,2,2,16,9,0,1,3
13075,2013/6/30,4,9,6,33,25,30,4,6,9,25,30,33,14,107,17.83,27,3,3,0,1,1,3,3,0,6,6,0,0,29,16,1,1,3
13074,2013/6/27,6,8,32,14,3,19,3,6,8,14,19,32,3,82,13.67,32,2,4,-2,0,2,2,4,-2,6,7,0,0,29,13,0,0,4
13073,2013/6/25,13,20,28,17,9,2,2,9,13,17,20,28,11,89,14.83,29,3,3,0,2,1,3,3,0,6,4,0,0,26,8,1,1,3
13072,2013/6/23,8,33,14,19,11,2,2,8,11,14,19,33,9,87,14.5,27,3,3,0,1,1,2,4,-2,6,8,0,0,31,14,0,0,1
13071,2013/6/20,21,12,26,28,5,23,5,12,21,23,26,28,9,115,19.17,25,3,3,0,1,1,4,2,2,6,6,0,0,23,9,0,1,0
13070,2013/6/18,2,28,10,30,9,3,2,3,9,10,28,30,6,82,13.67,22,2,4,-2,1,2,2,4,-2,5,8,2,2,28,18,0,1,0
13069,2013/6/16,30,16,18,17,7,33,7,16,17,18,30,33,6,121,20.17,31,3,3,0,0,1,4,2,2,5,9,2,1,26,12,0,1,0
13068,2013/6/13,13,20,25,2,27,7,2,7,13,20,25,27,6,94,15.67,24,4,2,2,2,0,3,3,0,5,7,0,0,25,7,0,0,1
13067,2013/6/11,9,1,4,30,15,22,1,4,9,15,22,30,6,81,13.5,21,3,3,0,1,1,2,4,-2,6,8,0,0,29,8,1,1,2
13066,2013/6/9,17,16,20,1,3,32,1,3,16,17,20,32,7,89,14.83,19,3,3,0,1,1,3,3,0,6,8,1,1,31,13,0,0,2
13065,2013/6/6,23,7,30,19,18,29,7,18,19,23,29,30,2,126,21,36,4,2,2,2,0,5,1,4,5,6,2,2,23,11,0,0,1
13064,2013/6/4,13,25,22,9,32,1,1,9,13,22,25,32,12,102,17,22,4,2,2,2,0,3,3,0,5,9,0,0,31,9,0,0,3
13063,2013/6/2,31,20,15,23,10,18,10,15,18,20,23,31,12,117,19.5,17,3,3,0,1,1,4,2,2,5,4,0,0,21,8,0,0,3
13062,2013/5/30,22,19,6,1,7,27,1,6,7,19,22,27,2,82,13.67,32,4,2,2,1,0,3,3,0,5,8,1,1,26,12,2,2,3
13061,2013/5/28,6,5,18,13,12,7,5,6,7,12,13,18,12,61,10.17,31,3,3,0,0,0,1,5,-4,6,4,3,2,13,5,1,3,3
13060,2013/5/26,7,5,20,13,19,10,5,7,10,13,19,20,15,74,12.33,24,4,2,2,2,0,2,4,-2,5,8,1,1,15,6,0,1,1
13059,2013/5/23,27,29,3,10,24,18,3,10,18,24,27,29,9,111,18.5,31,3,3,0,1,2,4,2,2,6,10,0,0,26,8,0,1,3
13058,2013/5/21,24,8,11,21,17,23,8,11,17,21,23,24,5,104,17.33,24,4,2,2,3,0,4,2,2,5,7,1,1,16,6,0,1,2
13057,2013/5/19,13,19,26,16,28,23,13,16,19,23,26,28,5,125,20.83,35,3,3,0,1,1,4,2,2,4,6,0,0,15,4,0,2,3
13056,2013/5/16,12,29,26,3,25,28,3,12,25,26,28,29,16,123,20.5,33,3,3,0,0,1,4,2,2,6,8,2,2,26,13,0,0,2
13055,2013/5/14,32,19,27,18,22,8,8,18,19,22,27,32,6,126,21,36,2,4,-2,0,1,5,1,4,4,7,1,1,24,10,0,1,2
13054,2013/5/12,8,14,4,3,28,21,3,4,8,14,21,28,14,78,13,28,2,4,-2,0,2,2,4,-2,4,9,1,1,25,7,1,1,3
13053,2013/5/9,30,22,3,33,13,12,3,12,13,22,30,33,14,113,18.83,13,3,3,0,0,1,3,3,0,3,8,1,1,30,9,0,1,2
13052,2013/5/7,14,22,24,6,21,7,6,7,14,21,22,24,13,94,15.67,24,2,4,-2,0,1,3,3,0,5,6,2,2,18,7,0,0,2
13051,2013/5/5,29,8,15,28,19,12,8,12,15,19,28,29,2,111,18.5,41,3,3,0,1,1,3,3,0,4,8,1,1,21,9,0,0,3
13050,2013/5/2,22,7,3,13,25,18,3,7,13,18,22,25,3,88,14.67,28,4,2,2,2,1,3,3,0,5,8,0,0,22,6,0,1,2
13049,2013/4/30,16,32,14,10,21,13,10,13,14,16,21,32,14,106,17.67,16,2,4,-2,0,1,2,4,-2,6,8,1,1,22,11,3,3,2
13048,2013/4/28,32,28,30,10,17,13,10,13,17,28,30,32,4,130,21.67,20,2,4,-2,1,2,4,2,2,5,7,0,0,22,11,0,2,2
13047,2013/4/25,1,27,17,30,11,8,1,8,11,17,27,30,12,94,15.67,24,4,2,2,2,0,3,3,0,4,6,0,0,29,10,0,0,2
13046,2013/4/23,19,3,24,26,16,20,3,16,19,20,24,26,6,108,18,28,2,4,-2,0,2,4,2,2,5,9,1,1,23,13,0,0,1
13045,2013/4/21,7,6,14,31,8,23,6,7,8,14,23,31,12,89,14.83,29,3,3,0,1,1,2,4,-2,6,7,2,1,25,9,0,0,1
13044,2013/4/18,28,26,11,3,18,5,3,5,11,18,26,28,6,91,15.17,31,3,3,0,2,2,3,3,0,5,6,0,0,25,8,1,1,3
13043,2013/4/16,17,25,6,15,14,3,3,6,14,15,17,25,16,80,13.33,30,4,2,2,2,1,2,4,-2,5,6,1,1,22,8,0,1,1
13042,2013/4/14,15,8,33,13,1,12,1,8,12,13,15,33,3,82,13.67,22,4,2,2,2,1,1,5,-4,5,9,1,1,32,18,1,1,2
13041,2013/4/11,23,17,10,2,24,12,2,10,12,17,23,24,5,88,14.67,18,2,4,-2,1,2,3,3,0,5,9,1,1,22,8,1,4,0
13040,2013/4/9,10,2,12,4,17,30,2,4,10,12,17,30,10,75,12.5,15,1,5,-4,0,3,2,4,-2,4,7,0,0,28,13,0,1,2
13039,2013/4/7,2,15,24,29,1,14,1,2,14,15,24,29,6,85,14.17,25,3,3,0,0,1,2,4,-2,5,7,2,2,28,12,0,2,2
13038,2013/4/4,15,10,12,14,19,9,9,10,12,14,15,19,11,79,13.17,29,3,3,0,1,2,1,5,-4,5,4,2,2,10,4,0,1,2
13037,2013/4/2,18,15,32,28,27,2,2,15,18,27,28,32,14,122,20.33,32,2,4,-2,0,1,4,2,2,4,9,1,1,30,13,1,1,2
13036,2013/3/31,29,5,31,9,27,4,4,5,9,27,29,31,13,105,17.5,35,5,1,4,4,0,3,3,0,5,7,1,1,27,18,0,0,3
13035,2013/3/28,26,17,15,14,30,1,1,14,15,17,26,30,2,103,17.17,23,3,3,0,1,1,3,3,0,6,8,1,1,29,13,1,2,1
13034,2013/3/26,20,6,22,33,26,15,6,15,20,22,26,33,9,122,20.33,22,2,4,-2,0,2,4,2,2,5,8,0,0,27,9,0,1,2
13033,2013/3/24,6,28,17,19,13,5,5,6,13,17,19,28,1,88,14.67,38,4,2,2,2,0,3,3,0,6,9,1,1,23,9,0,0,2
13032,2013/3/21,4,21,29,30,33,25,4,21,25,29,30,33,3,142,23.67,22,4,2,2,2,0,5,1,4,6,7,1,1,29,17,1,2,1
13031,2013/3/19,3,15,14,13,33,21,3,13,14,15,21,33,3,99,16.5,19,5,1,4,3,0,2,4,-2,4,7,2,1,30,12,0,1,2
13030,2013/3/17,25,26,7,29,18,14,7,14,18,25,26,29,6,119,19.83,39,3,3,0,0,1,4,2,2,6,6,1,1,22,7,1,2,2
13029,2013/3/14,29,23,6,19,10,7,6,7,10,19,23,29,12,94,15.67,34,4,2,2,2,0,3,3,0,5,8,1,1,23,9,0,1,3
13028,2013/3/12,7,25,8,26,28,14,7,8,14,25,26,28,13,108,18,38,2,4,-2,0,2,3,3,0,5,8,2,2,21,11,0,0,1
13027,2013/3/10,24,21,1,12,4,2,1,2,4,12,21,24,12,64,10.67,14,2,4,-2,0,2,2,4,-2,3,8,1,1,23,9,0,1,2
13026,2013/3/7,4,11,14,15,22,31,4,11,14,15,22,31,11,97,16.17,17,3,3,0,0,0,2,4,-2,4,8,1,1,27,9,0,0,2
13025,2013/3/5,30,16,18,25,17,24,16,17,18,24,25,30,8,130,21.67,30,2,4,-2,0,1,5,1,4,6,5,3,2,14,6,1,1,1
13024,2013/3/3,4,23,30,5,27,13,4,5,13,23,27,30,9,102,17,22,4,2,2,3,0,3,3,0,5,10,1,1,26,10,0,1,2
13023,2013/2/28,32,3,15,6,18,30,3,6,15,18,30,32,5,104,17.33,24,2,4,-2,0,2,3,3,0,6,6,0,0,29,12,0,1,2
13022,2013/2/26,15,7,4,2,20,9,2,4,7,9,15,20,7,57,9.5,27,3,3,0,2,1,1,5,-4,6,5,0,0,18,6,0,0,3
13021,2013/2/24,19,31,26,1,17,6,1,6,17,19,26,31,11,100,16.67,30,4,2,2,1,0,4,2,2,4,8,0,0,30,11,1,1,2
13020,2013/2/21,16,1,7,21,12,8,1,7,8,12,16,21,1,65,10.83,25,3,3,0,1,2,1,5,-4,5,7,1,1,20,6,1,2,2
13019,2013/2/19,20,26,16,5,1,2,1,2,5,16,20,26,6,70,11.67,20,2,4,-2,0,2,2,4,-2,5,8,1,1,25,11,0,1,1
13018,2013/2/17,30,8,28,29,13,2,2,8,13,28,29,30,5,110,18.33,30,2,4,-2,0,1,3,3,0,5,9,2,1,28,15,0,1,3
13017,2013/2/7,31,12,30,32,4,6,4,6,12,30,31,32,9,115,19.17,15,1,5,-4,0,3,3,3,0,5,7,2,1,28,18,0,2,2
13016,2013/2/5,12,6,2,28,14,5,2,5,6,12,14,28,5,67,11.17,27,1,5,-4,0,3,1,5,-4,5,10,1,1,26,14,0,2,4
13015,2013/2/3,5,18,13,6,7,11,5,6,7,11,13,18,15,60,10,30,4,2,2,2,0,1,5,-4,6,5,2,1,13,5,0,1,3
13014,2013/1/31,5,17,19,20,4,2,2,4,5,17,19,20,8,67,11.17,27,3,3,0,2,1,3,3,0,6,5,2,2,18,12,0,2,3
13013,2013/1/29,6,19,13,28,5,22,5,6,13,19,22,28,9,93,15.5,33,3,3,0,1,1,3,3,0,6,8,1,1,23,7,0,3,3
13012,2013/1/27,6,28,22,17,29,14,6,14,17,22,28,29,2,116,19.33,36,2,4,-2,0,2,4,2,2,6,8,1,1,23,8,2,2,1
13011,2013/1/24,12,3,17,27,29,24,3,12,17,24,27,29,9,112,18.67,32,4,2,2,1,0,4,2,2,5,8,0,0,26,9,0,1,1
13010,2013/1/22,32,1,9,17,33,11,1,9,11,17,32,33,12,103,17.17,23,5,1,4,3,0,3,3,0,5,8,1,1,32,15,1,2,1
13009,2013/1/20,4,16,23,1,13,9,1,4,9,13,16,23,2,66,11,26,4,2,2,1,0,1,5,-4,5,7,0,0,22,7,0,0,3
13008,2013/1/17,17,32,3,25,8,21,3,8,17,21,25,32,15,106,17.67,26,4,2,2,2,0,4,2,2,6,9,0,0,29,9,1,1,4
13007,2013/1/15,32,2,15,26,9,22,2,9,15,22,26,32,1,106,17.67,26,2,4,-2,1,2,3,3,0,4,6,0,0,30,7,0,2,1
13006,2013/1/13,22,13,30,9,10,17,9,10,13,17,22,30,13,101,16.83,21,3,3,0,1,1,3,3,0,5,7,1,1,21,8,0,1,2
13005,2013/1/10,1,25,32,13,31,14,1,13,14,25,31,32,12,116,19.33,16,4,2,2,2,0,3,3,0,5,7,2,2,31,12,1,1,1
13004,2013/1/8,10,27,6,16,20,32,6,10,16,20,27,32,8,111,18.5,21,1,5,-4,0,3,3,3,0,4,8,0,0,26,7,0,1,2
13003,2013/1/6,22,28,23,26,33,27,22,23,26,27,28,33,9,159,26.5,29,3,3,0,0,0,6,0,6,5,4,3,2,11,5,1,2,2
13002,2013/1/3,16,30,1,22,28,18,1,16,18,22,28,30,12,115,19.17,25,1,5,-4,0,4,4,2,2,5,7,0,0,29,15,0,0,1
13001,2013/1/1,6,15,25,8,24,14,6,8,14,15,24,25,6,92,15.33,32,2,4,-2,0,2,2,4,-2,4,7,2,2,19,9,0,0,3
12154,2012/12/30,5,16,12,32,28,7,5,7,12,16,28,32,4,100,16.67,30,2,4,-2,1,3,2,4,-2,5,8,0,0,27,12,0,2,3
12153,2012/12/27,21,11,4,5,28,27,4,5,11,21,27,28,10,96,16,26,4,2,2,3,0,3,3,0,5,4,2,2,24,10,0,1,4
12152,2012/12/25,28,10,29,12,18,22,10,12,18,22,28,29,7,119,19.83,29,1,5,-4,0,4,4,2,2,4,8,1,1,19,6,0,0,0
12151,2012/12/23,25,24,32,14,26,5,5,14,24,25,26,32,1,126,21,26,2,4,-2,0,2,4,2,2,4,9,2,1,27,10,0,2,2
12150,2012/12/20,17,23,24,9,26,11,9,11,17,23,24,26,7,110,18.33,30,4,2,2,3,1,4,2,2,6,7,1,1,17,6,0,1,2
12149,2012/12/18,26,25,32,1,13,5,1,5,13,25,26,32,13,102,17,22,4,2,2,3,1,3,3,0,5,9,1,1,31,12,0,0,2
12148,2012/12/16,3,21,6,11,31,17,3,6,11,17,21,31,7,89,14.83,19,5,1,4,3,0,3,3,0,4,8,0,0,28,10,0,0,3
12147,2012/12/13,24,15,23,32,2,12,2,12,15,23,24,32,9,108,18,18,2,4,-2,1,2,3,3,0,4,8,1,1,30,10,1,1,2
12146,2012/12/11,7,5,32,1,29,13,1,5,7,13,29,32,13,87,14.5,27,5,1,4,4,0,2,4,-2,6,9,0,0,31,16,0,1,2
12145,2012/12/9,5,28,26,27,20,33,5,20,26,27,28,33,3,139,23.17,29,3,3,0,0,1,5,1,4,6,7,2,1,28,15,0,1,2
12144,2012/12/6,3,10,13,30,12,27,3,10,12,13,27,30,4,95,15.83,15,3,3,0,1,1,2,4,-2,4,8,1,1,27,14,0,1,0
12143,2012/12/4,8,25,7,30,18,32,7,8,18,25,30,32,6,120,20,30,2,4,-2,0,2,4,2,2,5,9,1,1,25,10,0,1,2
12142,2012/12/2,31,22,5,29,18,28,5,18,22,28,29,31,6,133,22.17,33,3,3,0,1,2,5,1,4,5,9,1,1,26,13,0,1,2
12141,2012/11/29,20,8,5,3,27,19,3,5,8,19,20,27,9,82,13.67,32,4,2,2,1,0,3,3,0,6,10,1,1,24,11,0,1,1
12140,2012/11/27,31,30,33,14,27,18,14,18,27,30,31,33,15,153,25.5,23,3,3,0,1,1,5,1,4,6,7,1,1,19,9,0,1,3
12139,2012/11/25,8,24,21,31,28,19,8,19,21,24,28,31,15,131,21.83,31,3,3,0,1,1,5,1,4,4,8,0,0,23,11,0,2,1
12138,2012/11/22,7,16,21,17,1,19,1,7,16,17,19,21,14,81,13.5,31,5,1,4,3,0,3,3,0,4,9,1,1,20,9,1,2,3
12137,2012/11/20,1,13,17,2,4,6,1,2,4,6,13,17,7,43,7.17,23,3,3,0,1,2,1,5,-4,6,7,1,1,16,7,0,2,2
12136,2012/11/18,7,21,28,17,2,8,2,7,8,17,21,28,11,83,13.83,33,3,3,0,1,0,3,3,0,4,10,1,1,26,9,1,4,2
12135,2012/11/15,2,8,11,17,7,5,2,5,7,8,11,17,16,50,8.33,30,4,2,2,2,0,1,5,-4,5,5,1,1,15,6,2,3,3
12134,2012/11/13,5,7,13,6,23,2,2,5,6,7,13,23,15,56,9.33,26,4,2,2,2,0,1,5,-4,5,9,2,1,21,10,0,0,2
12133,2012/11/11,20,1,29,21,8,11,1,8,11,20,21,29,2,90,15,20,4,2,2,1,0,3,3,0,4,8,1,1,28,9,1,1,3
12132,2012/11/8,16,25,7,12,17,21,7,12,16,17,21,25,10,98,16.33,28,4,2,2,2,1,3,3,0,5,4,1,1,18,5,0,0,3
12131,2012/11/6,6,19,32,28,26,18,6,18,19,26,28,32,12,129,21.5,39,1,5,-4,0,3,5,1,4,4,9,1,1,26,12,0,0,2
12130,2012/11/4,20,15,22,31,1,3,1,3,15,20,22,31,3,92,15.33,12,4,2,2,2,1,3,3,0,5,8,0,0,30,12,1,1,2
12129,2012/11/1,21,1,7,9,17,29,1,7,9,17,21,29,1,84,14,34,6,0,6,5,0,3,3,0,3,6,0,0,28,8,0,2,1
12128,2012/10/30,30,12,5,9,31,29,5,9,12,29,30,31,5,116,19.33,26,4,2,2,1,0,3,3,0,5,9,2,1,26,17,1,1,2
12127,2012/10/28,26,9,11,21,32,1,1,9,11,21,26,32,8,100,16.67,20,4,2,2,3,1,3,3,0,4,9,0,0,31,10,0,0,1
12126,2012/10/25,12,24,5,23,15,3,3,5,12,15,23,24,7,82,13.67,22,4,2,2,2,0,2,4,-2,4,8,1,1,21,8,0,1,1
12125,2012/10/23,12,13,26,29,8,33,8,12,13,26,29,33,1,121,20.17,31,3,3,0,1,1,3,3,0,5,8,1,1,25,13,1,1,2
12124,2012/10/21,7,33,21,27,6,25,6,7,21,25,27,33,11,119,19.83,29,5,1,4,4,0,4,2,2,5,9,1,1,27,14,2,2,2
12123,2012/10/18,10,8,25,16,28,33,8,10,16,25,28,33,9,120,20,30,2,4,-2,0,2,3,3,0,5,8,0,0,25,9,1,1,1
